id;start_date;end_date;language
1;2020-10-04T11:08:59;2020-10-04T08:59:14;SPANISH
2;2020-10-03T15:59:10;2020-10-04T11:03:35;SPANISH
3;2020-10-04T06:54:29;2020-10-03T17:28:38;FRENCH
4;2020-10-03T22:12:00;2020-10-04T09:43:26;FRENCH
5;2020-10-04T07:42:18;2020-10-04T12:29:17;FRENCH
6;2020-10-04T01:34:39;2020-10-04T13:42:53;FRENCH
7;2020-10-04T03:19:59;2020-10-03T21:10:50;FRENCH
8;2020-10-04T02:16:12;2020-10-04T12:32:20;SPANISH
9;2020-10-04T00:57:21;2020-10-03T21:38:44;SPANISH
10;2020-10-04T09:09:25;2020-10-03T19:43:55;SPANISH
